id,date,deadline_date,title,category,phase,awarded_value_in_euros,tender_country
36077,2021-08-01,2021-08-12,"""Régészeti feltárásokhoz szükséges kézi földmunka""",constructions,Contracting and performance phase,819784.50,Hungary
36073,2021-09-26,2021-10-07,Cserepes és Szélmalom utcák felújítása,constructions,Contracting and performance phase,153941.38,Hungary
36067,2021-01-17,2021-01-28,Bölcsőde építése Dömösön – TOP-1.4.1-19-KO1-2019,constructions,Contracting and performance phase,142049.55,Hungary
36060,2021-01-28,2021-03-03,Építési beruházás - EFOP-2.4.1,constructions,Contracting and performance phase,560212.36,Hungary
36059,2021-10-21,2021-11-03,Felszíni vízrendezés I. üteme,constructions,Contracting and performance phase,379723.78,Hungary
36056,2021-10-02,2021-10-15,"Szentlőrinc, Kossuth L. u. 16._tetőtér beépítése",constructions,Contracting and performance phase,216339.49,Hungary
36046,2021-10-17,2021-10-25,Nagyrozvágy Általános Iskola felújítási munkák,constructions,Contracting and performance phase,231700.21,Hungary
36027,2021-09-26,2021-10-01,ELTE Pável I-II. kollégiumok felújítása - újra,constructions,Contracting and performance phase,821136.95,Hungary
36025,2021-08-09,2021-09-10,Attila 13/A. nyílászáró csere és felújítás,constructions,Contracting and performance phase,133944.12,Hungary
35527,2021-10-25,2021-11-05,Mosodai szolgáltatási feladatok ellátása 2022,services,Contracting and performance phase,91488.82,Hungary
35174,2021-10-18,2021-10-29,Robotika laborba eszközök és szoftverek beszerzése,supplies,Contracting and performance phase,5331.42,Hungary
35168,2021-10-17,2021-10-29,Lomtalanítási feladatok ellátása,services,Contracting and performance phase,82252.63,Hungary
34666,2021-09-30,2021-10-18,(PTS-294) ultrahang berendezések és fejek,supplies,Contracting and performance phase,181229.95,Hungary
34630,2021-09-28,2021-10-11,Orvosi laboratóriumok akkreditálás előkészítés,services,Contracting and performance phase,64705.40,Hungary
34135,2021-09-08,2021-09-20,Eszközök beszerzése Bagod,supplies,Contracting and performance phase,22611.03,Hungary
34099,2021-09-07,2021-10-15,Gépjavító műhely rekonstrukció,constructions,Contracting and performance phase,1155807.41,Hungary
33999,2021-09-01,2021-09-16,Licencgazdálkodási rendszerhez licenc beszerzése,supplies,Contracting and performance phase,47895.70,Hungary
33919,2021-08-29,2021-09-20,TOP-1.2.1-15 LÁTOGATÓKÖZPONT ESZKÖZBESZERZÉS,supplies,Contracting and performance phase,145404.13,Hungary
33333,2021-08-09,2021-09-13,K2152/II. Értéktelen veszélyes hulladékok,services,Contracting and performance phase,164505.25,Hungary
32808,2021-07-20,2021-08-26,Tomori kúria felújítása,constructions,Contracting and performance phase,436314.49,Hungary
32655,2021-07-13,2021-08-31,Hévízi úti kerékpárút I. ütemének megépítése,constructions,Evaluation phase,198189.67,Hungary
25788,2020-10-28,2020-12-07,"Taszár, Mezőkövesd műszaki ellenőri szolgáltatás",services,Evaluation phase,35012.20,Hungary
36006,2021-09-27,2021-10-13,Pesterzsébet - Kossuth Bölcsőde konyha fejlesztése,constructions,Contracting and performance phase,162342.16,Hungary
36004,2021-09-26,2021-10-07,Alkotóház villaépület felújítása-Balatonföldvár,constructions,Contracting and performance phase,170327.02,Hungary
35980,2021-08-07,2021-08-18,„Kádár utcai parkoló építés kivitelezése”,constructions,Contracting and performance phase,380726.38,Hungary
34994,2021-10-11,2021-10-26,"Élelmiszerek, élelmezési alapanyagok beszerzése",supplies,Contracting and performance phase,112482.64,Hungary
34891,2021-10-07,2021-10-25,Iparterület kialakítása Nagyvisnyón TOP 1.1.1-16ME,constructions,Contracting and performance phase,393953.58,Hungary
34713,2021-09-30,2021-10-15,Tisztítószerek szállítása,supplies,Contracting and performance phase,111368.91,Hungary
34670,2021-09-29,2021-10-11,Új lakásvízmérők beszerzése ÉDV Zrt. részére,supplies,Contracting and performance phase,7888.63,Hungary
34369,2021-09-15,2021-10-05,Zöldségtermesztéshez kapcsolódó eszközök,supplies,Contracting and performance phase,112209.64,Hungary
34319,2021-09-14,2021-09-30,Karácsonyi csomagok beszerzése/karácsonyi juttatás,supplies,Contracting and performance phase,59773.44,Hungary
34187,2021-09-09,2021-09-24,Madáreltérítők telepítése védővezető sodronyokra,services,Contracting and performance phase,9914.02,Hungary
33912,2021-08-30,2021-09-24,ELTE Vezér úti Kollégium felújítás,constructions,Contracting and performance phase,783398.37,Hungary
32156,2021-06-24,2021-07-19,Adatmentő szoftvereszközök beszerzése négy részben,supplies,Evaluation phase,25224.51,Hungary
32113,2021-06-22,2021-08-10,"„Bölcsődei férőhelyek kialakítása, bővítése 2021”",constructions,Contracting and performance phase,586591.67,Hungary
31698,2021-06-06,2021-06-28,Panyola Község csapadékvíz elvezetése,constructions,Evaluation phase,416687.76,Hungary
35976,2021-09-09,2021-10-06,Ybl villa történeti kert kialakítása,constructions,Contracting and performance phase,691252.95,Hungary
35974,2021-10-25,2021-11-05,"Iváncsa, Egészségház felújítása",constructions,Contracting and performance phase,126231.99,Hungary
35950,2021-08-08,2021-08-31,Székesfehérvár földszállító út kivitelezése,constructions,Contracting and performance phase,253286.26,Hungary
34999,2021-10-12,2021-10-25,Karácsonyi csomag kézbesítése időskorúak részére,services,Contracting and performance phase,66817.59,Hungary
34730,2021-09-29,2021-10-15,Gumiabroncs beszerzése,supplies,Contracting and performance phase,127709.00,Hungary
34180,2021-09-08,2021-09-28,"„Szennyvíztisztítótelep bővítése, tervezés”",services,Contracting and performance phase,44811.19,Hungary
34107,2021-09-07,2021-09-29,Szoc. alapszolg. infrastr. fejl. Lengyeltótiban,constructions,Contracting and performance phase,498835.96,Hungary
34034,2021-09-02,2021-09-22,Pályaorientációs programok megszervezése - KM,services,Contracting and performance phase,111445.14,Hungary
33709,2021-08-22,2021-09-09,"ANDOC licenc és support szolgáltatás, testreszabás",services,Contracting and performance phase,63615.50,Hungary
33685,2021-08-18,2021-09-07,Rendezvények lebonyolítása Jászkisér településen,services,Contracting and performance phase,75069.68,Hungary
32671,2021-07-14,2021-08-06,Új bölcsődei férőhelyek létesítése Szirmabesenyőn,constructions,Contracting and performance phase,202887.76,Hungary
30320,2021-04-22,2021-05-28,Szolnoki RFK energetikai fejlesztés,constructions,Evaluation phase,805902.17,Hungary
35930,2021-10-17,2021-10-25,Tenki Csicsergő Óvoda kiegészítő beruházás,constructions,Contracting and performance phase,28936.01,Hungary
35928,2021-09-09,2021-09-27,Sóskút – egyesületi ház építése új eljárás,constructions,Contracting and performance phase,403045.31,Hungary
35927,2021-06-29,2021-07-28,"Szolnok, csomópontok építése a H. G. M. Kórháznál",constructions,Contracting and performance phase,781909.18,Hungary
35924,2021-09-16,2021-09-29,OKF irodaház folyosóinak felújítási munkái,constructions,Contracting and performance phase,285634.06,Hungary
35919,2021-09-22,2021-10-29,"SZOÖ – Tető, gáz felújítása",constructions,Contracting and performance phase,280757.79,Hungary
35918,2021-10-19,2021-11-03,Dr. Molnár I. EGYMI felújítása és tetőszigetelése,constructions,Contracting and performance phase,156359.83,Hungary
35916,2021-06-20,2021-07-08,Intézményi felújítás Magyar Falu Program 5 részben,constructions,Contracting and performance phase,120463.15,Hungary
35911,2021-09-22,2021-10-19,Elektromos munkák végzése (794/2021.),constructions,Contracting and performance phase,43565.23,Hungary
35908,2021-09-26,2021-10-12,Tenisz öltözőépület felújítási munkái,constructions,Contracting and performance phase,632766.50,Hungary
35907,2021-08-15,2021-08-27,MFP-OKE/2020 - Kerékpárút fejlesztése Markazon,constructions,Contracting and performance phase,82563.33,Hungary
35906,2021-08-11,2021-08-24,Közvilágítás korszerűsítés,constructions,Contracting and performance phase,160399.53,Hungary
35595,2021-09-14,2021-10-11,MAR keretrendszer továbbfejlesztése és támogatása,services,Contracting and performance phase,155746.22,Hungary
34854,2021-10-06,2021-10-19,Hulladékgyűjtő zsák beszerzése,supplies,Contracting and performance phase,81179.30,Hungary
34659,2021-09-30,2021-10-12,Földgáz energia beszerzés - 2021,supplies,Contracting and performance phase,177605.33,Hungary
34226,2021-09-12,2021-09-28,Vértesacsa 486659 azonosító számú Vis maior,constructions,Contracting and performance phase,149557.35,Hungary
34213,2021-09-12,2021-10-08,Ipari övezetet kiszolgáló elkerülő szennyvízvezeté,constructions,Contracting and performance phase,332067.14,Hungary
34149,2021-09-08,2021-09-20,"Debreceni Köztemetőben fakivágási,gallyazási munka",services,Contracting and performance phase,162624.05,Hungary
34104,2021-09-07,2021-09-20,Nyomtatásvezérlő szoftverek követése és támogatása,services,Contracting and performance phase,104724.08,Hungary
34054,2021-09-02,2021-10-22,Időszaki kiadványok beszerzése (793/2021),supplies,Contracting and performance phase,96999.84,Hungary
33528,2021-08-15,2021-09-28,DEK-1070 DE DEAC Lelátó ép. felújítása és bővítése,constructions,Contracting and performance phase,3545897.57,Hungary
32641,2021-07-12,2021-08-25,Bétai elkerülő út építése,constructions,Contracting and performance phase,2536976.49,Hungary
35882,2021-08-12,2021-08-27,Orvosi rendelő felújítása,constructions,Contracting and performance phase,39768.88,Hungary
35879,2021-10-07,2021-10-14,Útfelújítási munkák végzése Hajdúböszörményben,constructions,Contracting and performance phase,128192.17,Hungary
35877,2021-10-10,2021-10-22,Dombóvári Százszorszép Óvoda Tündérkert Bölcsődéje,constructions,Contracting and performance phase,177069.51,Hungary
35876,2021-09-14,2021-10-01,Bölcsőde építése Pocsajban,constructions,Contracting and performance phase,294942.83,Hungary
35875,2021-09-12,2021-09-27,"Ajka, Táncsics, Klapka és Lakos utca felújítása",constructions,Contracting and performance phase,378263.19,Hungary
35871,2021-08-05,2021-08-23,Konferenciaterem hang-video-és világítási rendszer,constructions,Contracting and performance phase,154368.87,Hungary
35863,2021-09-21,2021-10-13,Belterületi utak felújítása,constructions,Contracting and performance phase,445239.24,Hungary
35859,2021-09-19,2021-10-04,Belterületi Önkormányzati utak fejlesztése II.,constructions,Contracting and performance phase,40765.61,Hungary
35568,2021-09-01,2021-10-08,Siemens YSIO rtg ber.-hez vez nélk detektor csere,supplies,Contracting and performance phase,54213.89,Hungary
34497,2021-09-23,2021-10-05,Személygépjárművek és gépjármű karbantartás,supplies,Contracting and performance phase,136144.60,Hungary
33833,2021-08-26,2021-09-08,Szennyvízszivattyú beszerzése II,supplies,Contracting and performance phase,141881.94,Hungary
33180,2021-08-01,2021-08-13,VÍZI- ÉS HORGÁSZTURIZMUS FEJLESZTÉSE - eszközök 2,supplies,Contracting and performance phase,57809.58,Hungary
33091,2021-07-28,2021-09-24,Piaccsarnok építése Szentesen,constructions,Contracting and performance phase,489876.81,Hungary
